index_date,luse_index
2019-12-24,4264.51
2019-12-25,4264.51
2019-12-26,4264.51
2019-12-27,4264.51
2019-12-28,4264.51
2019-12-29,4264.51
2019-12-30,4264.51
2019-12-31,4264.51
2020-01-01,4264.51
2020-01-02,4264.51
2020-01-03,4264.51
2020-01-04,4264.51
2020-01-05,4264.51
2020-01-06,4264.51
2020-01-07,4260.6
2020-01-08,4260.6
2020-01-09,4260.6
2020-01-10,4256.69
2020-01-11,4256.69
2020-01-12,4256.69
2020-01-13,4252.42
2020-01-14,4252.42
2020-01-15,4257.65
2020-01-16,4257.65
2020-01-17,4257.65
2020-01-18,4257.65
2020-01-19,4257.65
2020-01-20,4257.65
2020-01-21,4258.96
2020-01-22,4256.51
2020-01-23,4255.2
2020-01-24,4253.76
2020-01-25,4253.76
2020-01-26,4253.76
2020-01-27,4254.24
2020-01-28,4255.55
2020-01-29,4255.55
2020-01-30,4255.55
2020-01-31,4251.54
2020-02-01,4251.54
2020-02-02,4251.54
2020-02-03,4255.55
2020-02-04,4255.55
2020-02-05,4255.55
2020-02-06,4258.14
2020-02-07,4254.23
2020-02-08,4254.23
2020-02-09,4254.23
2020-02-10,4258.14
2020-02-11,4258.14
2020-02-12,4254.82
2020-02-13,4254.82
2020-02-14,4254.82
2020-02-15,4254.82
2020-02-16,4254.82
2020-02-17,4254.31
2020-02-18,4254.31
2020-02-19,4254.31
2020-02-20,4253.85
2020-02-21,4253.85
2020-02-22,4253.85
2020-02-23,4253.85
2020-02-24,4250.58
2020-02-25,4250.58
2020-02-26,4246.75
2020-02-27,4246.75
2020-02-28,4250.48
2020-02-29,4250.48
2020-03-01,4250.48
2020-03-02,4250.48
2020-03-03,4250.48
2020-03-04,4250.48
2020-03-05,4264.29
2020-03-06,4260.56
2020-03-07,4260.56
2020-03-08,4260.56
2020-03-09,4260.56
2020-03-10,4260.56
2020-03-11,4243.65
2020-03-12,4243.65
2020-03-13,4243.65
2020-03-14,4243.65
2020-03-15,4243.65
2020-03-16,4232.26
2020-03-17,4232.26
2020-03-18,4228.43
2020-03-19,4228.43
2020-03-20,4228.43
2020-03-21,4228.43
2020-03-22,4228.43
2020-03-23,4230.65
2020-03-24,4237.08
2020-03-25,4237.08
2020-03-26,4233.35
2020-03-27,4233.35
2020-03-28,4233.35
2020-03-29,4233.35
2020-03-30,4233.35
2020-03-31,4232.83
2020-04-01,4229.0
2020-04-02,4233.69
2020-04-03,4233.69
2020-04-04,4233.69
2020-04-05,4233.69
2020-04-06,4227.66
2020-04-07,4152.99
2020-04-08,4152.07
2020-04-09,4152.07
2020-04-10,4152.07
2020-04-11,4152.07
2020-04-12,4152.07
2020-04-13,4152.07
2020-04-14,4147.19
2020-04-15,4147.19
2020-04-16,4140.56
2020-04-17,4140.56
2020-04-18,4140.56
2020-04-19,4140.56
2020-04-20,4140.56
2020-04-21,4140.56
2020-04-22,4140.56
2020-04-23,4141.94
2020-04-24,4145.82
2020-04-25,4145.82
2020-04-26,4145.82
2020-04-27,4130.5
2020-04-28,4149.17
2020-04-29,4149.17
2020-04-30,4149.17
2020-05-01,4149.17
2020-05-02,4149.17
2020-05-03,4149.17
2020-05-04,4149.17
2020-05-05,4149.17
2020-05-06,4145.44
2020-05-07,4145.44
2020-05-08,4094.16
2020-05-09,4094.16
2020-05-10,4094.16
2020-05-11,4094.16
2020-05-12,4090.33
2020-05-13,4090.33
2020-05-14,4090.33
2020-05-15,4082.86
2020-05-16,4082.86
2020-05-17,4082.86
2020-05-18,4078.25
2020-05-19,4078.25
2020-05-20,4078.25
2020-05-21,4078.25
2020-05-22,4078.25
2020-05-23,4078.25
2020-05-24,4078.25
2020-05-25,4078.25
2020-05-26,4078.25
2020-05-27,4074.52
2020-05-28,4024.34
2020-05-29,4024.34
2020-05-30,4024.34
2020-05-31,4024.34
2020-06-01,4024.34
2020-06-02,4024.34
2020-06-03,4013.14
2020-06-04,4013.14
2020-06-05,4013.14
2020-06-06,4013.14
2020-06-07,4013.14
2020-06-08,4013.14
2020-06-09,4013.14
2020-06-10,4013.14
2020-06-11,4013.14
2020-06-12,3971.11
2020-06-13,3971.11
2020-06-14,3971.11
2020-06-15,3971.11
2020-06-16,3944.98
2020-06-17,3971.11
2020-06-18,3944.98
2020-06-19,3944.98
2020-06-20,3944.98
2020-06-21,3944.98
2020-06-22,3944.98
2020-06-23,3944.98
2020-06-24,3937.7
2020-06-25,3937.7
2020-06-26,3937.7
2020-06-27,3937.7
2020-06-28,3937.7
2020-06-29,3927.13
2020-06-30,3919.57
2020-07-01,3885.97
2020-07-02,3926.75
2020-07-03,3926.75
2020-07-04,3926.75
2020-07-05,3926.75
2020-07-06,3926.75
2020-07-07,3926.75
2020-07-08,3926.75
2020-07-09,3915.55
2020-07-10,3915.55
2020-07-11,3915.55
2020-07-12,3915.55
2020-07-13,3893.15
2020-07-14,3893.15
2020-07-15,3890.85
2020-07-16,3890.85
2020-07-17,3879.36
2020-07-18,3879.36
2020-07-19,3879.36
2020-07-20,3879.36
2020-07-21,3899.76
2020-07-22,3892.1
2020-07-23,3885.21
2020-07-24,3837.54
2020-07-25,3837.54
2020-07-26,3837.54
2020-07-27,3859.94
2020-07-28,3859.94
2020-07-29,3865.4
2020-07-30,3865.4
2020-07-31,3865.4
2020-08-01,3865.4
2020-08-02,3865.4
2020-08-03,3865.4
2020-08-04,3865.4
2020-08-05,3865.4
2020-08-06,3865.4
2020-08-07,3865.4
2020-08-08,3865.4
2020-08-09,3865.4
2020-08-10,3847.75
2020-08-11,3855.41
2020-08-12,3855.41
2020-08-13,3855.41
2020-08-14,3844.69
2020-08-15,3844.69
2020-08-16,3844.69
2020-08-17,3842.39
2020-08-18,3842.39
2020-08-19,3842.39
2020-08-20,3842.39
2020-08-21,3842.39
2020-08-22,3842.39
2020-08-23,3842.39
2020-08-24,3842.39
2020-08-25,3818.99
2020-08-26,3842.39
2020-08-27,3842.39
2020-08-28,3842.39
2020-08-29,3842.39
2020-08-30,3842.39
2020-08-31,3842.39
2020-09-01,3842.39
2020-09-02,3842.39
2020-09-03,3842.39
2020-09-04,3838.66
2020-09-05,3838.66
2020-09-06,3838.66
2020-09-07,3838.2
2020-09-08,3838.2
2020-09-09,3830.62
2020-09-10,3830.62
2020-09-11,3834.35
2020-09-12,3834.35
2020-09-13,3834.35
2020-09-14,3834.35
2020-09-15,3834.35
2020-09-16,3834.35
2020-09-17,3834.35
2020-09-18,3834.35
2020-09-19,3834.35
2020-09-20,3834.35
2020-09-21,3834.35
2020-09-22,3834.35
2020-09-23,3834.35
2020-09-24,3823.58
2020-09-25,3823.58
2020-09-26,3823.58
2020-09-27,3823.58
2020-09-28,3823.58
2020-09-29,3823.58
2020-09-30,3823.58
2020-10-01,3815.54
2020-10-02,3811.81
2020-10-03,3811.81
